99546,Adak,AK
99571,Adak,AK
99615,Akhiok,AK
99551,Akiachak,AK
99552,Akiak,AK
99553,Akutan,AK
99554,Alakanuk,AK
99555,Aleknagik,AK
99720,Allakaket,AK
99786,Ambler,AK
99721,Anaktuvuk,AK
99721,Anaktuvuk Pass,AK
99505,Anch,AK
99556,Anchor Point,AK
99501,Anchorage,AK
99502,Anchorage,AK
99503,Anchorage,AK
99504,Anchorage,AK
99505,Anchorage,AK
99506,Anchorage,AK
99507,Anchorage,AK
99508,Anchorage,AK
99509,Anchorage,AK
99510,Anchorage,AK
99511,Anchorage,AK
99513,Anchorage,AK
99514,Anchorage,AK
99515,Anchorage,AK
99516,Anchorage,AK
99517,Anchorage,AK
99518,Anchorage,AK
99519,Anchorage,AK
99520,Anchorage,AK
99521,Anchorage,AK
99522,Anchorage,AK
99523,Anchorage,AK
99524,Anchorage,AK
99529,Anchorage,AK
99530,Anchorage,AK
99540,Anchorage,AK
99599,Anchorage,AK
99695,Anchorage,AK
99744,Anderson,AK
99820,Angoon,AK
99557,Aniak,AK
99558,Anvik,AK
99722,Arctic Village,AK
99547,Atka,AK
99559,Atmautluak,AK
99791,Atqasuk,AK
99821,Auke Bay,AK
99711,Badger,AK
99723,Barrow,AK
99734,Barrow,AK
99759,Barrow,AK
99789,Barrow,AK
99791,Barrow,AK
99724,Beaver,AK
99559,Bethel,AK
99637,Bethel,AK
99679,Bethel,AK
99680,Bethel,AK
99690,Bethel,AK
99726,Bettles,AK
99726,Bettles Field,AK
99652,Big Lake,AK
99785,Brevig Mission,AK
99727,Buckland,AK
99729,Cantwell,AK
99730,Central,AK
99788,Chalkyitsik,AK
99561,Chefornak,AK
99574,Chenega Bay,AK
99563,Chevak,AK
99674,Chickaloon,AK
99732,Chicken,AK
99548,Chignik,AK
99564,Chignik,AK
99565,Chignik Lagoon,AK
99548,Chignik Lake,AK
99615,Chiniak,AK
99566,Chitina,AK
99557,Chuathbaluk,AK
99567,Chugiak,AK
99733,Circle,AK
99568,Clam Gulch,AK
99569,Clarks Point,AK
99704,Clear,AK
99918,Coffman Cove,AK
99546,Cold Bay,AK
99571,Cold Bay,AK
99701,Coldfoot,AK
99572,Cooper Landing,AK
99572,Cooper Lndg,AK
99573,Copper Center,AK
99574,Cordova,AK
99677,Cordova,AK
99921,Craig,AK
99575,Crooked Creek,AK
99736,Deering,AK
99731,Delta Jct,AK
99737,Delta Jct,AK
99731,Delta Junction,AK
99737,Delta Junction,AK
99755,Denali National Park,AK
99755,Denali Park,AK
99576,Dillingham,AK
99762,Diomede,AK
99737,Dot Lake,AK
99824,Douglas,AK
99692,Dutch Harbor,AK
99738,Eagle,AK
99577,Eagle River,AK
99901,Edna Bay,AK
99950,Edna Bay,AK
99578,Eek,AK
99579,Egegik,AK
99702,Eielson AFB,AK
99580,Ekwok,AK
99825,Elfin Cove,AK
99739,Elim,AK
